name,email,role,password
Todd Gordon,todd.gordon@xyz-company.com,CloudAdmin,TVxfrpnGR3#
Lance Morris,lance.morris@xyz-company.com,DevEngineer,DOCDJFgUkY#
Nancy Russo,nancy.russo@xyz-company.com,DevEngineer,POxexY7Xob#
Sabrina Wilson,sabrina.wilson@xyz-company.com,DBA,zm1El9ilSV#
Alexis Torres,alexis.torres@xyz-company.com,DBA,82dE@3Tofp#
Theresa Nguyen,theresa.nguyen@xyz-company.com,CloudAdmin,uDJ49l0rxK#
Kayla Hanson,kayla.hanson@xyz-company.com,Trainee,TgETXVSPSv@
Patrick Roberts,patrick.roberts@xyz-company.com,DBA,V3ibwr$FRQ
Daniel Waller,daniel.waller@xyz-company.com,Trainee,gIevxu7pIH@
John Craig,john.craig@xyz-company.com,DBA,eUebVXp9A@
Edward Gibson,edward.gibson@xyz-company.com,Trainee,gUtiCkygwI#
Joanne Sutton,joanne.sutton@xyz-company.com,Trainee,5QvKbEaqE7#
Brittany Baxter,brittany.baxter@xyz-company.com,DBA,fTo8Ce2zko#
Vanessa Boyle,vanessa.boyle@xyz-company.com,Trainee,v6KVifYAt4#
April Evans,april.evans@xyz-company.com,CloudAdmin,mDrwmzZmC8#
Kenneth Palmer,kenneth.palmer@xyz-company.com,Trainee,b2KEtzLp8o#
Zachary Houston,zachary.houston@xyz-company.com,DevEngineer,IPwOPn0GUX@
Gabriel Finley,gabriel.finley@xyz-company.com,CloudAdmin,T7i6jVWp7h##
Samuel Kennedy,samuel.kennedy@xyz-company.com,Trainee,eaqr5hJ5l8$
Karen Keller,karen.keller@xyz-company.com,DevEngineer,XHixS3Z7qj#
Robert Dean,robert.dean@xyz-company.com,LinuxAdmin,nTTqOQOhJ$
Brandon Clark,brandon.clark@xyz-company.com,LinuxAdmin,fZR8VwG0WI$
Brett Davis,brett.davis@xyz-company.com,Trainee,xmDXdAlfwR!
Leslie Tran,leslie.tran@xyz-company.com,CloudAdmin,9ygSRFiaKQ!
Paul Roach,paul.roach@xyz-company.com,LinuxAdmin,IiYdwg2Qnm!
Derek Sandoval,derek.sandoval@xyz-company.com,DBA,qrZCCzCuho!
Amber Morales,amber.morales@xyz-company.com,DevEngineer,6tEoTaR8GO!
Justin Baldwin,justin.baldwin@xyz-company.com,Trainee,wDAdW7EzA9!
Heather Turner,heather.turner@xyz-company.com,DBA,vxKpzKWhCZ!
Erin Lawrence,erin.lawrence@xyz-company.com,DevEngineer,ypXZ1$EI6p
Stephen Perez,stephen.perez@xyz-company.com,DevEngineer,Z#Ib4N4Fhq
Christine Petersen,christine.petersen@xyz-company.com,Trainee,nzj3@PJdkW
Tiffany Keith,tiffany.keith@xyz-company.com,DevEngineer,fKwUNxbXBH!
Brandon Williams,brandon.williams@xyz-company.com,DevEngineer,xflr3nGzSG!
John Cardenas,john.cardenas@xyz-company.com,Trainee,E0bujJ2RRx!
Jeremy Morris,jeremy.morris@xyz-company.com,DevEngineer,1W5uE03Z6D!
Kimberly Hayes,kimberly.hayes@xyz-company.com,DevEngineer,4I8#LEPIhD
Melissa Evans,melissa.evans@xyz-company.com,LinuxAdmin,z@2WMyBkda!
Sara Brown,sara.brown@xyz-company.com,Trainee,vKGb$WMGE9
Kim Mathews,kim.mathews@xyz-company.com,DevEngineer,lzDoKoxPvK!
Evan Ramsey,evan.ramsey@xyz-company.com,DBA,I4SyC#$gUL
Thomas Edwards,thomas.edwards@xyz-company.com,CloudAdmin,KBMzZmvJL6!
Heather Garner,heather.garner@xyz-company.com,Trainee,kbASfbarPi!
Amanda Crawford,amanda.crawford@xyz-company.com,DBA,ZxfpEtbpSC!
Joshua Collins,joshua.collins@xyz-company.com,DBA,oauIR43m$K
Ryan Allen,ryan.allen@xyz-company.com,DevEngineer,Fc#1ml#7wN
Denise Moore,denise.moore@xyz-company.com,LinuxAdmin,BlPAZzuQff!
Danielle Blackburn,danielle.blackburn@xyz-company.com,DBA,JHlJzHMoPT!
Karen Thornton,karen.thornton@xyz-company.com,DevEngineer,yXu@ElhfGl
Matthew Soto,matthew.soto@xyz-company.com,LinuxAdmin,H7zOPqbEcF!
Susan Kelley,susan.kelley@xyz-company.com,CloudAdmin,rbrKiCcGAA!
Victoria Adams,victoria.adams@xyz-company.com,LinuxAdmin,ZsxLGQfEUs!
Marc Robertson,marc.robertson@xyz-company.com,LinuxAdmin,1QR85k7AX$
Joel Nichols,joel.nichols@xyz-company.com,DevEngineer,Wrv0pspMDG!
John Williams,john.williams@xyz-company.com,CloudAdmin,oG@RwP7udX!
Kathryn Garcia,kathryn.garcia@xyz-company.com,CloudAdmin,YIciOgn86X!
Tammy Meyer,tammy.meyer@xyz-company.com,LinuxAdmin,$@2MfgV8gO
Michael Herrera,michael.herrera@xyz-company.com,LinuxAdmin,qXJ70VK5Y4!
